Q,A
1264.5084,13.71971554
1011.5412,13.582084
843.1011,13.89345122
674.383743,13.33098822
505.716843,11.92662244
337.248171,10.47460585
168.645072,5.900987097
84.34705799,1.572501809
67.3983843,1.250224202
50.55405118,0.272566054
33.8545785,-0.920970273
16.73939535,-1.904819906
0,-2.900527885
